Rank,Model,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2,CV_RMSE_scaled
1,Gaussian Process (Kriging),0.039233,0.024518,0.904157,0.031567,0.019781,0.993895,0.328868
2,Decision Tree,0.040697,0.025833,0.974214,0.168021,0.090667,0.887907,0.751917
3,AdaBoost,0.057367,0.038389,0.906263,0.122598,0.075729,0.920447,0.716264
4,Support Vector Regression,0.064993,0.046305,0.835287,0.078814,0.050652,0.909722,0.330239
5,Random Forest,0.067329,0.039762,0.896522,0.207964,0.124500,0.844113,0.726904
6,Extra Trees,0.086276,0.047439,0.862522,0.133388,0.077427,0.920643,0.487277
7,Elastic Net,0.093927,0.061646,0.835399,0.073933,0.043563,0.891255,0.311616
8,Ridge Regression,0.093985,0.061695,0.835121,0.073951,0.043593,0.891183,0.311519
9,Artificial Neural Network,0.128503,0.073703,0.786786,0.074026,0.047260,0.956726,0.558502
10,k-Nearest Neighbors,0.137983,0.090833,0.631143,0.252427,0.146542,0.824120,0.694987
11,Gradient Boosting,0.144594,0.090441,0.566577,0.126435,0.074556,0.900517,0.751983
12,HistGradient Boosting,0.201092,0.136667,-0.131192,0.524483,0.346083,-0.027465,1.140896
13,XGBoost,0.244747,0.141510,0.077075,0.302349,0.174384,0.683004,0.829550
